reference_summary,generated_summary
"The appellant along with ""J"" & '.T"" was charged for offences u/s 120B/109/ 302 I.P.C. as well as 302/34 I.P.C. The trial which proceeded in the absence of absconding ""T"", resulted in the conviction and both the accused were sentenced to death sentence.
On a reference and appeals by the accused the High Court acquitted ""J"" rejecting four out of five eye witnesses and disbelieving even the only other eye witness who lodged the First Information Report.
The High Court however maintained the conviction and confirmed the death sentence on the appellant relying on the testimony of the very same single witness.
on appeal by special leave, the Court ^ HELD: (i) Ordinarily in an appeal under article 136 of the Constitution the Court would hesitate to go into the facts to reappreciate the evidence.
It is, however.
not possible to adopt that course, where the testimony of the sole witness has been rejected with reference to the second accused was on the same boat with the appellant.
When the accused is going to lose his life in such a serious charge u/s 302 I.P.C. it is only necessary that the Court should be circumspect and closely scrutinise the evidence to come to an unhesitating conclusion that the sole single witness is absolutely reliable.
[710G, H, 711H, 712A] (ii) In the instant case, the High Court was not correct in appreciating the ocular testimony of a sole witness, because (a) the very fact that the eye witness could be persuaded to substitute PWs.
1, 2. and 3 for his deceased brother as chasing the assailants, contrary to the version of the F.I.R. degrades him from the status of an absolutely reliable witness, not having a qualm of conscience, but an obliging and untrustworthy witness.
[710H] (b) 'The version in the F.I.R. stands contradicted by the testimony in court on a very material point and does not corroborate.
[712 B] (c ) Placing such reliance.
therefore.
as is requisite on the testimony of the uncorroborated solitary witness for convicting the accused facing a murder charge is not possible in the case. [712 B]
"," The case was referred to the High Court as usual and the accused also preferred appeals against their conviction and sentence. The High Court acquitted accused Jabamani Nadar alias Kanyakumari Comrade alias Ramu and accepted the reference in respect of the present accused. The deceased, Viswanatham Pillai, was the village Munsif (Headman)."
"Entry 4 of the I Schedule of the Andhra Pradesh General Sales Tax Act, 1957, reads: Cinematographic equipment including. parts and accessories required for use therewith.
on the question whether Arc Carbons, known as 'Cinama Arc Carbons ' manufactured by the appellant fall under the entry and their sales were, there fore, rightly subjected to sales tax.
^ HELD: The meaning of an entry can only be satisfactorily determined in the light of the language of the entry itself considered in the context in which it occurs.
and cases relating to totally different entries will have only a very remote bearing.
Entry 4 occurs in a Schedule of taxable goods.
When it was intended to confine an entry to particular gadgets and 'parts thereof ' the entry said so.
Entry 4, however, includes 'parts ' as well as 'accessories '.
The term 'accessories ' is used to describe goods which may have been manufactured for use as an aid or addition to particular machines, though, they may serve as aids to other kinds of instruments also.
But, this entry and other entries use the expression 'required for use therewith '.
The description of the goods in these entries indicates that the expression has been employed for equipment or accessories connected with the main purpose.
Therefore, it is its general of predominant use that determines the category in which an article will fall.
[563D F, G; 564B C] In the present case, the main use of Arc Carbons was proved to be that of production of powerful light used in projectors in Cinemas.
The fact that they can also be used for other purposes such as for search lights etc., will not detract from their classification under Entry 4.
The classification is determined by their ordinary or common known purpose or user which is evident from he fact thy are known as 'cinema Arc Carbons ' in the market.
[564 F H]
"," The Appeal Nos.630 631 of 1971 was delivered by the Andhra Pradesh High Court in Tax Revision Cases Nos 46 and 47 of 1969. The Court was asked whether sales of Arc carbons, known as ""Cinema Arc Carbons"", manufactured by the appellant company, were rightly subjected to sales tax for two assessment years 1965 66 and 1966 77. The High Court referred to the fact that the appellants had not produced their account books to show that they had been purchased by persons other than those who ran cinemas."
"The principles of law for determination of the question whether an endowment is public or private are: (1) In a private trust, the beneficiaries are specific individuals who are ascertained or capable of being ascertained; in a private trust, they are the general public or a class thereof which is incapable of being ascertained.
[526C] (2) The intention of the founder as to whether specified individuals or the general public or any specified portion thereof could have the right of worship.
[526E] (3) When property is dedicated for the worship of a family idol, it is a private and not a public endowment.
Where the beneficiaries are not specified individuals, the endowment can only be regarded as public.
[526 F] Devki Nandan vs Murlidhar. ; and State of Bihar & Ors.
vs Smt.
Charusila Dasi, [1959] Suppl.
S.C.R. 601/613, referred to.
(4) Proof of user by the public without interference would be cogent evidence that the dedication is in favour of the public.
[527A] Narayan Bhagwantrao Gosavi Balajiwala vs Gopal Vinayak Gosavi and others; , , referred to.
(5) It is unusual for rulers to make grants to a family idol.
[527B] (6) Participation of the members of the public in the darshan in the temple and in the daily acts of worship or in the celebrations on festival occasions may be a very important factor to consider in determining the character of the temple.
[527E] Tilkayat Shri Govindlalji Maharaj vs The State of Rajasthan and others, [1964] 1 S.C.R. 561.
referred to.
(7) The origin of the temple, the manner in which its affairs are managed, the nature and extent of the gifts received by it, rights exercised by the devotees in regard to worship, the consciousness of the manager and the consciousness of the devotees as to the public character of the temple establish whether a temple is a public or a private temple.
[527F] Goswami Shri Mahalaxmi Vahuji vs Rannchhoddas Kalidas and ors.
; , referred to.
(8) It is not always possible to have all the features of a public trust in a given case: even some of the tests may be sufficient to conclude about the character of the trust.
[528E] Dismissing the appeal ^ HELD: In the instant case from the documentary and oral evidence the following features are present: (i) The deity installed in the temple was intended by the founder to be continually worshipped by an indeterminate multitude of the Hindu public.
(ii) In order to facilitate worship by the public, the founder also intended that regular bhajan, kirtan and worship shall be maintained and annual ceremonies and processions for pilgrimage shall be conducted by the saints in succession nominated by the reigning saint.
519 (iii) There has been no evidence of any hindrance or restriction in the matter of continuous worship by the public extending over a long period.
(iv) More than a century ago the temple, in its own name, was the recipient of land by Royal grant and the same has been managed by the saints in succession as manager, not as personal or private property.
(v) Gifts of land by members of the public from the Taluka and outside it in favour of the temple or of the Sansthan were made for the purpose of worship.
(vi) Collection of subscriptions were made from house to house by taking Maharaj and also for 'Gulal ' ceremony.
(vii) Holding out of the Sansthan to all intents and purposes as a public temple.
(viii) Treating of the Sansthan by those who are connected with the management as intended for user by the public without restrictions.
(ix) Absence of any evidence in the long history of the Sansthan to warrant that it had any appearance of, or that it was ever treated as, a private property.
[530E H; 531A B] The above features lead to the inescapable conclusion that Shri Vithal Rukhamai Sansthan is a public trust within the meaning of section 2(13) of the Bombay Public Trust Act.
"," Shri Vithal Sukhamai Sansthan at Amalner, (East Khandesh) was a private Devasthan or a public religious trust. Sakharam Maharaj constructed a temple in the year 1817 and installed the deity according to religious rites. An application was made on May 29, 1952, to the Assistant Charity Commissioner, Poona, under protest and without prejudice. The application was filed by three persons Bhaskarrao Chimanrao Deshmukh, Ramrao Sahebrao Deshemukh and Ramkrishna Tryambak Deshpande, as constituted attorneys of Vasudeobuwa."
"The workmen 's demand for grant of sick leave and its accumulation upto a period was rejected by the employers on the ground that the provided more than adequate sickness benefits, and that any additional benefits would place a financial burden on the industry and would adversely affect other industries in the region.
The Tribunal, to which the dispute was referred, partly granted the workmen 's demand.
On appeal to this Court it was contended that section 61 of the debarred a person enti tled to any of the benefits under that Act from receiving similar benefit under the provisions of any other Act and as such the workmen were not entitled to the benefit of sick leave.
Dismissing the appeals, HELD: (1) The , does not deal with the question of sick leave.
The scheme of the benefits admissible under the Act does not cover the work men 's demand for sick leave to the extent allowed by the Tribunal.
Section 61 is not applicable because the benefits granted by the Tribunal are not similar to those admissible under the Act.
[84 C] The Hindustan Times Ltd., New Delhi vs Their Workmen [1964] 1 SCR 234 and Technological Institute of Textiles vs Its Workmen and others applied.
(2) Sickness benefit under the Act cannot be said to be adequate, for, it works out to about half the average wage of a workman which benefit is not admissible for the first two days of sickness except under the conditions provided in the Act.
A workman is prevented from earning the normal daily wages during the period of his illness and there is no justification for the argument that the rate of benefit at about half his wage, under the Act, should be considered sufficient so as to deny him the benefit of sick leave on full emoluments for a period of 7 days when he is certi fied by a competent medical officer to be ill for that or a longer period.
Sickness is a serious misfortune to a work man for it not only prevents him from earning his normal wages, but is a drain on his meagre financial resources by way of additional expenditure on food, nursing and visits to the medical centre etc.
[84 E F] (3) The Tribunal could not be said to have erred in restoring the benefit which the workmen were receiving under an earlier award.
The benefit of sick leave to the employ ees in the region was lost when the Act was made applicable to the region from December 14, 1969.
This was obviously under a mistaken impression.
The Act does not deal with all aspects of sickness benefit and does not provide for the grant of leave on full emoluments during the period of a workman 's physical incapacity to earn his normal wages because of his sickness.
[85 B C] (4) There is no force in the argument that the Tribunal had granted additional privilege leave for 7 days under the garb of sick leave because by its very nature sick leave would be admissible only in the case of actual sickness certified by a registered medical practitioner.
[86 B] (5) There is no evidence to show that the benefit had not been allowed by other companies in the region.
The Tribunal had examined the financial 81 capacity of the companies and had given adequate reasons for holding that they were in good financial position and could bear the additional burden.
[85 H] (6) It has not been shown that the awards are illegal or unjust, or would adversely affect the economy or the indus trial peace, or lead to imbalance in the conditions of service in other industrial establishments.
[86 C]
"," Appeal No. 1951 of 1975 is directed against the award of the Industrial Tribunal Gujarat, dated September 24, 1975, in the dispute between the Alembic Glass Industries Ltd., Baroda, and its workmen. The dispute in both cases related to the workmen's demand for 10 days sick leave, with retrospective effect, and. its. accumulation over a period of three years i.e. upto 30 days. The workmen particularly felt aggrieved because by virtue of the first proviso to section 49 of the, hereinafter referred to the Act, they were not entitled to the sickness benefit for the first two days of sickness except in the case of a spell of sickness."
"The appellants wrote a letter to the President of India, with copies to some others including the Chief Jus tice of Punjab and Haryana High Court, criticising, the behaviour of a High Court Judge, who, during his visit to the Sessions Division of Bhivani, spoke against the Govern ment 's policies and canvassed for a communist system.
The High Court issued a notice against the appellants; making out a case of criminal contempt of court.
The appellants tendered a conditional apology contingent on the courts finding their action to be contempt of court.
The apology was accepted.
Allowing the appeals and dropping the contempt proceedings, the Court.
HELD: (1) The elementary basis of acceptance of apology is that there is to be a finding of committal of contempt.
The Full Bench fell into the error of accepting the apology without finding that the appellants committed any contempt In the absence of such a finding, no question arises for acceptance of apology.
F G] (2) Judges are, by reason of their office and nature of work, expected not to get involved in controversial matters, or to concern themselves with political issues or policies undertaken by political parties.
If any Judge addresses on political problems or controversies, the Judge exposes himself to discussion by public.
He cannot in such a case take shelter behind his office if the public discusses and criticises the views expressed by him, and the protective umbrella of the court cannot be used by way of bringing the critics on the charge of contempt of Court.
[246 A D, F G]
", The Judge criticised the Government's policy in regard to its attitude towards the judiciary. He suggested the members of the Bar to revolt against the present Government as it has suppressed the civil liberation (sic) of the individuals and has also failed miserably in all fields. The Judge further said that the prevailing system of Government is not good in this country and we must adopt the communist form of Govern ment.
"(1 ) When a provisional inter State seniority list is prepared for integrating services after States re organisa tion, there is a possibility of some mistakes occurring about the facts of a case or in the .application of the relevant statute or rules or executive directions governing seniority.
It would, therefore, be quite fair to give the person affected an opportunity to be heard against the proposed list before it is made final under 8. 115.
State Reorganisation Act, 1956, so that.
any possible mistakes, either in the facts relating to his case or in the law or rule applied with regard to the proposed assignment of a place to him in the seniority list may be rectified.
But, once he had that opportunity.
it cannot be said that he should have a further opportunity against even a final seniority list, for then such a list would not really be final but will only he provisional or preliminary.
[830 C D] (2) But, even a final list, if it is prepared contrary to the rules applicable or is vitiated on some ground show ing that a condition precedent to the finalisation of the list is absent, or a particular decision is malafide or arrived at on totally irrelevant or extraneous considera tions.
such a final list could be declared invalid by the Court.
G] In the present case.
the officer was not satisfied with the position given to him the final seniority list.
But, since he had an opportunity Under the integration rules of the State for filing objections against the preliminary provisional list, he cannot urge that he should he heard again alter the final list was prepared.[829 A] He cannot claim to have a say against the final list on the analogy of a second opportunity to show cause against a proposed punishment in a departmental enquiry, because.
no element of punishment is involved in preparing either a provisional or a final seniority list.
[830 B] He is not entitled to any relief because he had not made out in his petition to the Court any of the grounds on which a final list can be assailed.
[831 G] Union of India vs
G.M. Shankariah & Ors. etc.
(S.L.R. 1969 p. 1 ) (C As.
1439 & 1446 of 1967 decided on 16 10 1968) explained.
Union of India & Anr.
v P.K. Roy & Ors.
[1968] 2 S.C.R. 186 @ 202 and Union of India vs
G.R. Prabhavalkar & Ors. ; at 2106, followed.
", The High Court of Mysore seems to have been under the misapprehension that the case now before us is also governed by what was held by this Court in Shankariah's case (supra) with reference to an entirely different and provisional list of Forest Officers.
"The assesses carrying on business in the City of Bombay was assessed to income tax for the years 1943 44 to 1947 48 and 1951 52 by the Income tax Officer C 1 Ward Bombay.
As the assessee did not pay the income tax due the Income tax Officer issued in April 1951 to the Additional Collector of Bombay a recovery certificate under section 46(2) of the Indian Income tax Act, 1922.
In February 1954 the Additional Collector issued a notice of demand and as no payment was made he attached the good will and tenancy rights of the assessee 's premises by a warrant of attachment dated 24th March 1954, 888 A sale was held in February 1955.
The sale proceeds not being sufficient to satisfy the assessed tax the Additional Collector issued a notice under section 13 of the Bombay City Land Revenue Act, 1876 requiring the assessee to appear before him and show cause why he should not be apprehended and confined to civil prison in satisfaction of the said certified demand.
In default of assessee 's appearance and showing cause a warrant for his arrest was issued under section 13 of the Bombay Act, II of 1876 and he was actually arrested on 1st July 1955.
An application to the Bombay High Court under article 226 of the Constitution for a writ in the nature of a writ of habeas corpus having proved unsuccessful, an application under article 32 was filed in the Supreme Court for the same relief.
Two main points urged on behalf of the assessee were: (a) that section 46(2) of the Indian Income tax Act under which the Income tax Officer issued the recovery certificate to the Additional Collector of Bombay was void, under article 13 (1) of the Constitution in that it offended article 21 and article 14 of the Constitution; (b)that section 13 of the Bombay Land Revenue Act, 1876 (Bombay Act II of 1876) under which the warrant of arrest was issued by the Additional Collector was void under article 13(1) of the Constitution as the same was repugnant to article 14 of the Constitution.
Held (as regards a) (1) that there was no violation of fundamental rights under article 21 of the Constitution inasmuch as section 13 of the Bombay Act II of 1876 under which warrant of arrest was issued for the recovery of the demand certified under section 46(2) of the Indian Income tax Act constituted a procedure established by law.
Both section 13 of Bombay Act II of 1876 and section 46 of the Indian Income tax Act under which action had been taken against the assessee were not void and therefore no question of violation of funda mental rights under article 21 could arise at all) (ii)the contention that section 46(2) of the Indian Income tax Act provides for two different and alternative methods of recovery of the dues and clothes the Collector with the unfettered and unguided power to apply either of the two methods inasmuch as it enables the Collector at his will to discriminate between two defaulters who are similarly situated and thus violates the equal protection clause of the Constitution was without force because sub section (2) of section 46 does not prescribe two different procedures.
The proviso enacted therein does not indicate a different and alternative mode of recovery of the certified amount of tax but only confers additional powers on the Collector for the better and more effective application of the only mode of recovery authorised by the body of sub section (2) of section 46 and therefore there was no question of possibility of dis crimination at all; (iii)the further contention that section 46(2) of the Indian Incometax Act violates the equal protection clause of the Constitution and has thus become void under article 14 of the Constitution as section 46(2) required the Collector,on receipt of the requisite certificate from 889 the Income tax Officer, to recover the amount specified in the certificate as if it were an arrear of the land revenue and there are different laws adopted by different States for the recovery of land revenues and thus there is discrimination on the ground that defaulters are treated differently in different States is also without force be cause discrimination complained of is a permissible classification and does not offend the fundamental right guaranteed by article 14 as the grouping of the income tax defaulters in separate categories on classes State wise is a territorial classification which is based on an intelligible differentia and there is a reasonable nexus or co relation between the basis of classification and the object sought to be achieved by the Income tax Act.
The fact that the income tax demand is a Union public demand makes no difference in the legal position.
Held, (as regards b) that the contention that section 13 of the Bombay Act II of 1876 became unconstitutional under article 13(1) of the Constitution in that the procedure prescribed by section 13 of the Bombay Act II of 1876 in respect of a defaulter residing in the City of Bombay was harsher and more drastic than the procedure laid down in section 157 of the Bombay Act V of 1879 in respect of a defaulter residing outside the City of Bombay was without force because section 13 of the Bombay Act II of 1876 was amended on 8th October 1954 and a new law laid down a law similar to the law laid down by section 157 of the Bombay Act V of 1879 and thus the vice of unconstitutionality 'if any ' was removed.
State of Punjab vs Ajaib Singh & Another ([1953] S.C.R. 254), Shaik Ali Ahmed vs Collector of Bombay (I.L.R. , Chiranjit Lal Chowdhury vs The Union of India ([1950] S.C.R. 869), Budhan Choudhry and others vs The State of Bihar ([1955] 1 S.C.R. 1045), Middleton vs Texas Power and Light Company ; , Bowman vs Lewis (101 U.S. 22; , The State of Rajasthan vs Rao Manohar Singhji ([1954] S.C.R. 996), Bhikaji Narayan Dhakras vs The State of Madhya Pradesh, Nagpur and Another ([1965] 2 S.C.R. 589) and Erimmal Ebrahim Hajee vs The Collector of Malabar ([1954] , referred to.
"," Petition was filed under article 32 of the Constitution by one Purshottam Govindji Halai, a citizen of India, calling upon the respondents to show cause why a writ in the nature of a writ of habeas corpus should not be issued by this Court."
"By section
,12, sub section 1, of the (XXXI of 1950) as amended by Act XLII of 1954, notwithstanding anything contained in any other law for the time being in force, the Custodian may cancel any allotment or terminate any lease or amend the terms of any lease or agreement under which any evacuee property is held or occupied by a person, whether such allotment, lease or agreement was granted or entered into before or after the commencement of this Act"".
The respondent who was the Custodian of evacuee property granted a lease to the appellants and subsequently issued a notice to them, among other things, calling upon them to show cause why the lease should not be cancelled for committing breaches of the conditions on which the properties had been leased to them.
The appellants contended that the respondent had no power to cancel the lease on the ground that under section 12(1) of the Act the power of the Custodian to cancel the lease could be exercised only so as to override a bar imposed by any law but not the contract under which the lease was held and relied on the language of the non obstante clause contained in the section.
Held, that the operative portion of the section which confers power on the Custodian to cancel a lease is unqualified and absolute and could not be abridged by reference to the non obstante clause which was only inserted ex abundanti cautela with a view to repel a possible contention that the section does not by implication repeal statutes conferring rights on lessees.
Observations in Aswini Kumar Ghose vs Arabinda Bose ([1963] S.C.R. 1, 21, 24) and Dominion of India vs Shrinbai A. Irani ([1955] 1 S.C.R. 206, 213), on the scope of a non obstante clause, relied on.
"," Appeal No. 205 of 1954 was delivered by VENKATARAMA AYYAR J. Daphtary, Solicitor General of India, (Porus A. Mehta and B. H. Dhebar, with him), for the respondent. The appeal raises a question as to the powers of a Custodian of Evacuee Property to cancel a lease granted by him under section 12 of the (XXXI of 1950)"
"Khandappa Sangappa Magdum died on June 27, 1960 leaving behind, his widow Hirabai, two sons Gurupad and Shivapad and three daughters.
On November, 6, 1952 Hirabai filed special civil suit No. 26/53 for partition and separate possession of a 7/24 share in two houses, a land, two shops and mov ables on the basis that these properties belonged to the joint family consisting of her husband, and their two sons.
The case of the plaintiff was that if a partition were to take place during Khandappa 's life time between himself and his two sons the plaintiff would have got a 1/4th share each on the death of Khandappa, Her further case was that Khandappa 's 1/4th share could devolve upon his death on six sharers, entitling her to 1/24th share besides.
The trial Court found that the suit properties belonged to the joint family and that there was no prior partition.
Following the judgment of the Bombay High Court in Shiramabai Bhimgonda vs Kalgonda , limited her share to only 1/24th and refused to add 1/4th and 1/24th together.
Dismissing the defendant 's appeal 524/66 and allowing the cross objections of the plaintiff, the Bombay High Court, by its judgment dated March 19, 1975 following 68 Rom.
L.R. 74 which overruled , held that the plaintiff wag entitled to 7/24th share.
Dismissing the appeal by special leave, the Court.
HELD : 1. (a) What Section 6 of the Hindu Succession Act.
1956 deals with is the devolution of the interest which a male Hindu has in a Mitakshara property at the time of his death.
The proviso to Section 6 contains a formula, for fixing the share of the claimants while Explanation I contains a formula for deducing the share of the deceased.
[765 H, 766 A B] (b) Explanation I which contains the formula for determining the share of the deceased creates a fiction by providing that the interest of a Hindu Mitakshara coparcener shall be deemed to be, the share in the property that would have been allotted to him if a partition of the property had taken place immediately before his death.
Whether a partition had actually taken place between the plaintiffs husband and his sons is beside the point for the purposes of Explanation 1.
That Explanation compels the assumption of a fiction that in fact ""a partition of the property had taken place"", the point of time of the partition being the one immediately before the death of the person in whose property the heirs claim a share.
The fiction created by Explanation I has to be given its due and full effect.
[766 E F, 767 C D] Commissioner of Income Tax, Delhi vs section Teja Singh, ; applied.
East End Dwellings Co. Ltd. vs Finsbury Borough Council, 132, quoted with approval 2.
(a) In order to ascertain the share of heirs in the property of a deceased coparcener it is necessary in the very nature of things, and as they Very first step to ascertain the share of the deceased in the coparcenary property , by dong that alone can one determine the extent of the claimant 's share.
Explanation 1 to section 6 resorts to the simple expedient, undoubtedly factional, that.
14 315SCI/78 762 the interest of a Hindu Mitakshara coparcener ""shall be deemed to be the share in the property that would have been allotted to him if a partition of that property had taken place immediately before his death.
What is therefore required to be assumed is that a partition had in fact taken place between the deemed and his coparceners immediately before his death.
That assumption, once made, is irrevocable.
In other words, the assumption having been made once for the purpose of ascertaining the share of the deceased in the coparcenary property, one cannot go back on that assumption and ascertain the share of the heirs without reference, to it.
The assumption which the statute requires to be made that a partition had in fact taken place must permeate the entire process of ascertainment of the ultimate share of the heirs, through all its stages.
To make the assumption at the initial stage for the limited purpose of ascertaining the share of the deceased and then to ignore it for calculating the quantum of the share of the heirs is truly to permit one 's imagination to boggle.
All the consequences which flow from a real partition have to be logically worked out, which means that the share of the heirs must be ascertained on the basis that they had separated from one another and had received a share in the partition which had taken place during the life time of the deceased.
The allotment of this share is not a processual step devised merely for the purpose of working out some other conclusion.
it has to be treated and accepted as a concrete reality, something that cannot be recalled just as a share allotted to a coparcener in an actual partition cannot generally be recalled.
The inevitable corollary of this position is that the heir will get his or her share in the interest which the deceased had in the coparcenary property at the time of his death, in addition to the share which he or she received or must be deemed to have received in the notional partition.
[768 B G] (b) Ibis interpretation furthers the legislative intent in regard to the enlargement of the share of female heirs, qualitatively and quantatively.
Even assuming that two interpretations of Explanation 1 are reasonably possible, Courts must prefer that interpretation which will further the intention of the legislature and remedy the injustice from which the Hindu women have suffered over the years.
By restricting the operation of the fiction created by Explana tion I in the manner suggested by the appellant, Courts, shall be taking a retrograde step, putting back as it were the clock of social reform which has enabled the Hindu women to acquire an equal status with males in matters of pro perty.
[768 G, 769 A B] Rangubhai Lalji vs Laxman Lalji, 68 (Bom) L.R. 74; Sushilabai Ramachandra Kulkarni v, Narayanarao Gopalrao Deshpande and Ors., A.I.R. (1975) Bom.
257; Vidyaben vs Jagadishchandra N. Bhatt, A.I.R. 1974 Guj. 23; Ananda vs Haribandu, A.I.R. 1967 Orissa 194; approved.
In the instant case, (a) There is no justification for limiting the plaintiff 's share to 1/24th by ignoring the 1/4th share which she would have obtained had there been a partition during her husband 's life time between him and his two sons.
In a partition between Khandappa and his two sons, there would be four sharers in the coparcenary property, the fourth being Khandappa 's wife, the plaintiff.
Khandappa would have therefore got a 1/4th share in the coparcenary property on the hypothesis of a partition between himself and his sons.
[766 G H, 767 B C] (b) By the application of the normal rule prescribed by Section 6 of the , Khandappa 's interest in the coparcenary property would devolve by survivorship upon the surviving members of the coparcenary and not in accordance with the provisions of the Act.
But, since the widow and daughter are amongst the female relatives specified in class I of the Schedule to the Act and Khandappa died leaving behind a widow and daughters, ,he proviso to section 6 comes into play and the normal rule is excluded.
Khandappa 's interest in the coparcenary property would therefore devolve, according to the proviso, by intestate succession under the Act and not by survivorship.
Testamentary succession is out of question as the deceased had not made a testamentary disposition though, under the explanation to section 763 30 of the Act, the interest of a male Hindu in Mitakshara coparcenary.
property is capable of being disposed of by a will or other testamentary disposition.
[765 E G] (c) The plaintiff 's share as determined by the application of the rules of intestate succession contained in Sections 8, 9 and 10 of the Hindu Succession .
Act will be 1/6th.
The deceased Khandappa died leaving behind him two sons, three daughters and a widow.
The son, daughter.
and widow are mentioned as heirs in class I of the Schedule and therefore, by reason of the provisions of section 8(a) read with the 1st clause of section 9, they take simultaneously and to the exclusion of other heirs.
As between them the two son 's, the three daughters and the widow will take equally.
each having one share in the deceased 's property under section 10 read with Rules 1 and 2 of that section.
[766 C D]
"," Khandappa Sangappa died on June 27, 1960 leaving him surviving his wife Hirabai who is the plaintiff, two sons Gurupad and Shivapad, who are defendants 1 and 2 respectively, and three daughters, defendants 3 to 5. The widow claims a 7/24th share in the joint family properties."
"Explanation (b) to section 125(1) of the Code of Criminal Procedure, 1973 provides that ""wife"" includes a woman who has been divorced by or has obtained a divorce from her husband and has not re married.
Section 127(3) (b) provides that where any order has been made under section 125 in favour of a woman who has been divorced by or has obtained a divorce from her husband, the Magistrate shall if he is satisfied that the woman has been divorced by her husband and has received, whether before or after the date of the said order, the whole of the sum which under any customary or personal law applicable to the parties, was payable on such divorce cancel such order in the circumstances stated therein.
The respondent (husband) married the appellant (wife) and had a son by her.
A few years later the respondent divorced his wife.
By a consent decree, in the suit filed by the wife, he transferred to her the flat in which she was living and agreed to pay mehar money.
The compromise stated that the ""plaintiff declares that she has now no claim or right whatsoever against the defendant"".
For some time thereafter they lived together but again separated.
The wife moved the magistrate under section 125 Cr.P. for grant of maintenance to her and her son.
This was granted.
On appeal the Sessions Judge held mat the Court had no jurisdiction under section 125.
The High Court dismissed the wife 's appeal.
On further appeal to this Court it was contended on behalf of the respondent that (i) section 125(4) would apply in the absence of proof that the wife was not living separately by mutual consent; (ii) to attract section 125 there must be proof of neglect to maintain the wife and (iii) no claim for maintenance in this case can survive in the face of the consent decree whereby mehar money had been paid and all claims adjusted.
Allowing the appeal the Court, G ^ HELD: Every divorcee, otherwise eligible, is entitled to the benefit of maintenance allowance and the dissolution of the marriage makes no difference to this right under the current Code.
[78H] 1.
There is no force in the argument that the absence of mutual consent to live separately must be made out if the hurdle of section 125(4) is to be overcome.
The compulsive conclusion from a divorce by a husband and his provision of a separate residence as evidenced by the consent decree fills the bill.
Divorce plainfully implies that the husband orders.
the wife out of the conjugal home.
[80D] 76 2.
The husband 's plea is his right to ignore.
So the basic condition of neglect to maintain is satisfied.
In this generous jurisdiction the broader perception and appreciation of the facts and their bearing must govern the verdict not chopping little logic or tinkering with burden of proof.
[80C] 3.
(a) The consent decree resolved all disputes and settled all claims then available.
The new statutory right which could not have been in the contemplation of the parties when they entered into the consent decree in 1962 had been created by the Code of 1973.
No settlement of claim which does not have the special statutory right of the divorcee under section 125 can operate to negate that claim.
[80F] (b) No husband can claim under section 127(3)(b) absolution from his obligation under section 125 towards a divorced wife except on proof of payment of a sum stipulated by customary or personal law whose quantum is more or less sufficient to do duty for maintenance allowance.
[81F] (c) Section 127 cannot rescue the husband from his obligation.
The scheme of Chapter IX has a social purpose.
Ill used wives and desperate divorcees shall not be driven to material and moral dereliction to seek sanctuary in the streets.
Where the husband, by customary payment at the time of divorce, has adequately provided for the divorcee.
a subsequent series of recurrent doles is contra indicated and the husband liberated.
The key note thought is adequacy of payment which will take reasonable care of the wife 's maintenance.
[80H] (d) The payment of illusory amounts by way of customary or personal law requirement will be considered in the reduction of maintenance rate but cannot annihilate that rate unless it is a reasonable substitute The legal sanctity of the payment is certified by the fulfilment of the social obligation, not by a ritual exercise rooted in custom.
No construction which leads to frustration of the statutory project can secure validation if the Court is to pay true homage to the Constitution.
The only just construction of the section is that Parliament intended divorcees should not derive a double benefit If the first payment by way of mehar or ordained by custom has a reasonable relation to the object and is a capitalised substitute for the order under section 125 then section 127(3) (b) subserves the goal and relieves the obligor.
not pro tanto but wholly the purpose of the payment ""under any customary or personal law"" must be to obviate destitution of the divorcee and to provide her with wherewithal to maintain herself There must be a rational relation between the cum so paid and its potential as provision for maintenance.
[81B C] 4.
Welfare laws must be so read as to be effective delivery systems of the salutary objects sought to be served by the Legislature and when the beneficiaries are the weaker sections, like destitute women, the spirit of article 15(3) must belight the meaning of the section.
The Constitution is a pervasive omnipresence brooding over the meaning and transforming the values of every measure.
"," An appeal by special leave from the Bombay High Court in Criminal Application No. 1 379/75 was delivered by A Prefatory statement KRISHNA IYER, J. C. Bhandare, A. N. Karkhanis, Miss Malini Panduval and Mrs. K. P. M. L. Sanghi. The respondent (husband) married the appellant (wife) as a second wife, way back in 1956 and a few years later had a son by her."
